title,words,kind
The Sun Also Rises,Robert Cohn,person
The Sun Also Rises,Cohn,person
The Sun Also Rises,Frances,person
The Sun Also Rises,Robert,person
The Sun Also Rises,Mrs Braddocks,person
The Sun Also Rises,Barnes,person
The Sun Also Rises,Georgette,person
The Sun Also Rises,Brett,person
The Sun Also Rises,Mike,person
The Sun Also Rises,Ashley,person
The Sun Also Rises,Harvey,person
The Sun Also Rises,Michael,person
The Sun Also Rises,Bill,person
The Sun Also Rises,Harris,person
The Sun Also Rises,Jake,person
The Sun Also Rises,Pedro Romero,person
The Sun Also Rises,Belmonte,person
The Sun Also Rises,Romero,person
The Sun Also Rises,Marcial,person
For Whom The Bell Tolls,Roberto,person
For Whom The Bell Tolls,Robert Jordan,person
For Whom The Bell Tolls,Pablo,person
For Whom The Bell Tolls,Rafael,person
For Whom The Bell Tolls,Maria,person
For Whom The Bell Tolls,Anselmo,person
For Whom The Bell Tolls,Finito,person
For Whom The Bell Tolls,Pilar,person
For Whom The Bell Tolls,Fernando,person
For Whom The Bell Tolls,Don Benito,person
For Whom The Bell Tolls,Don Federico,person
For Whom The Bell Tolls,Cuatro Dedos,person
For Whom The Bell Tolls,Don Ricardo Montalvo,person
For Whom The Bell Tolls,Don Ricardo,person
For Whom The Bell Tolls,Don Faustino,person
For Whom The Bell Tolls,Don Guillermo,person
For Whom The Bell Tolls,Don Anastasio,person
For Whom The Bell Tolls,Don Pepe,person
For Whom The Bell Tolls,Robert,person
For Whom The Bell Tolls,Jordan,person
For Whom The Bell Tolls,Karkov,person
For Whom The Bell Tolls,Hans,person
For Whom The Bell Tolls,Bach,person
For Whom The Bell Tolls,Juan Luis,person
For Whom The Bell Tolls,Sordo,person
For Whom The Bell Tolls,Lieutenant Berrendo,person
For Whom The Bell Tolls,Bob,person
For Whom The Bell Tolls,Eladio,person
For Whom The Bell Tolls,Gomez,person
For Whom The Bell Tolls,Marty,person
A Farewell to Arms,Franz Joseph,person
A Farewell to Arms,Miss Barkley,person
A Farewell to Arms,Barkley,person
A Farewell to Arms,Helen Ferguson,person
A Farewell to Arms,Miss Ferguson,person
A Farewell to Arms,Ferguson,person
A Farewell to Arms,Helen,person
A Farewell to Arms,Mr Henry,person
A Farewell to Arms,Catherine,person
A Farewell to Arms,Catherine Barkley,person
A Farewell to Arms,Rinaldi,person
A Farewell to Arms,Tenente,person
A Farewell to Arms,Passini,person
A Farewell to Arms,Manera,person
A Farewell to Arms,Walker,person
A Farewell to Arms,Mrs Walker,person
A Farewell to Arms,Henry,person
A Farewell to Arms,Frederic Henry,person
A Farewell to Arms,Van Campen,person
A Farewell to Arms,Miss Gage,person
A Farewell to Arms,Dr Valentini,person
A Farewell to Arms,Fergy,person
A Farewell to Arms,George,person
A Farewell to Arms,Edgar Saunders,person
A Farewell to Arms,Mac,person
A Farewell to Arms,Saunders,person
A Farewell to Arms,Fred,person
A Farewell to Arms,Ettore,person
A Farewell to Arms,Crowell,person
A Farewell to Arms,Piani,person
A Farewell to Arms,Sim,person
A Farewell to Arms,Count Greffi,person
A Farewell to Arms,Cat,person
A Farewell to Arms,Catherine Henry,person
The Garden of Eden,David,person
The Garden of Eden,Catherine,person
The Garden of Eden,Jean,person
The Garden of Eden,Marita,person
This Side of Paradise,Beatrice,person
This Side of Paradise,Amory,person
This Side of Paradise,Amory Blaine,person
This Side of Paradise,Myra,person
This Side of Paradise,Kerry,person
This Side of Paradise,Shaw,person
This Side of Paradise,Tom,person
This Side of Paradise,Isabelle Borge,person
This Side of Paradise,Sally,person
This Side of Paradise,Mrs Borge,person
This Side of Paradise,Sloane,person
This Side of Paradise,Burne,person
This Side of Paradise,Jesse,person
This Side of Paradise,Clara,person
This Side of Paradise,Alec,person
This Side of Paradise,Eleanor,person
This Side of Paradise,Jill,person
This Side of Paradise,Olson,person
This Side of Paradise,Rosalind,person
This Side of Paradise,Borge,person
The Beautiful and Damned,Anthony Patch,person
The Beautiful and Damned,Adam,person
The Beautiful and Damned,Adam Patch,person
The Beautiful and Damned,Anthony,person
The Beautiful and Damned,Dick,person
The Beautiful and Damned,Richard Caramel,person
The Beautiful and Damned,Gloria,person
The Beautiful and Damned,Gilbert,person
The Beautiful and Damned,Richard,person
The Beautiful and Damned,Mrs Gilbert,person
The Beautiful and Damned,Geraldine,person
The Beautiful and Damned,Joseph Bloeckman,person
The Beautiful and Damned,Bloeckman,person
The Beautiful and Damned,Rachael,person
The Beautiful and Damned,Hull,person
The Beautiful and Damned,Mr Haight,person
The Great Gatsby,Tom,person
The Great Gatsby,Tom Buchanan,person
The Great Gatsby,Daisy,person
The Great Gatsby,Baker,person
The Great Gatsby,Nick,person
The Great Gatsby,Miss Baker,person
The Great Gatsby,Jordan,person
The Great Gatsby,Mrs Wilson,person
The Great Gatsby,Catherine,person
The Great Gatsby,Jay Gatsby,person
The Great Gatsby,Jordan Baker,person
The Great Gatsby,Mr Gatsby,person
The Great Gatsby,Mr Wolfshiem,person
The Great Gatsby,Jay,person
The Great Gatsby,Gatsby,person
The Great Gatsby,George,person
Tender is the Night,Mrs McKisco,person
Tender is the Night,Mrs Abrams,person
Tender is the Night,Abe North,person
Tender is the Night,Dick Diver,person
Tender is the Night,Dick,person
Tender is the Night,Nicole,person
Tender is the Night,Mary North,person
Tender is the Night,Rosemary,person
Tender is the Night,Abe,person
Tender is the Night,Brady,person
Tender is the Night,Mrs Speers,person
Tender is the Night,Tommy Barban,person
Tender is the Night,Tommy,person
Tender is the Night,Barban,person
Tender is the Night,McKisco,person
Tender is the Night,Mary,person
Tender is the Night,Collis Clay,person
Tender is the Night,Collis,person
Tender is the Night,Clay,person
Tender is the Night,Peterson,person
Tender is the Night,Doctor Diver,person
Tender is the Night,Franz,person
Tender is the Night,Dohmler,person
Tender is the Night,Doctor Dohmler,person
Tender is the Night,Warren,person
Tender is the Night,Doctor,person
Tender is the Night,Lanier,person
Tender is the Night,Caroline,person
Tender is the Night,Gausse,person
The Old Man and the Sea,Santiago,person